,id,goal,sol1,sol2,label,slot_question,slot_answer,pred_answer
10,3939fe76-d56b-4d88-95d9-d68ea7e20830,"To prevent gunk buildup in cup holders of a car,",place coffee filters inside of the cup holders.,pour a thin layer of oil into the cup holders.,0,"To prevent gunk buildup in cup holders of a car,
sol1:place coffee filters inside of the cup holders.
sol2:",pour a thin layer of oil into the cup holders.,Regularly clean out the cup holders to remove any debris or spills
11,8dc24b65-c6b9-472c-b5f4-d4753a58cafd,"To make a bedroom temperature colder without a fan or air conditioner,","hang up a thick, and dark blanket over the windows and then ensure their is proper air flow in the room.",wave a large blanket up and down to generate a gust of wind to cool the room down when it gets too hot.,0,"To make a bedroom temperature colder without a fan or air conditioner,
sol1:hang up a thick, and dark blanket over the windows and then ensure their is proper air flow in the room.
sol2:",wave a large blanket up and down to generate a gust of wind to cool the room down when it gets too hot.,Place a bowl of ice or a frozen water bottle in front of a fan and position it to circulate air throughout the room.
12,b2eae350-e3d1-49f3-aa07-b533c03e38c4,"To cook perfectly golden pancakes,",keep the temperature high and cook quickly.,keep the temperature low for a longer time.,1,"To cook perfectly golden pancakes,
sol1:
sol2:keep the temperature low for a longer time.",keep the temperature high and cook quickly.,Flip the pancakes when the edges are slightly crispy.
13,ba1730c1-64cc-4a2d-864b-fb93b65ff5af,Eliminate odors in the laundry room.,"Spray dirty laundry with air freshener, and open a window to clear the room of smell.",Combine baking soda and essential oil.  Place in an open jar in laundry room.,1,"Eliminate odors in the laundry room.
sol1:
sol2:Combine baking soda and essential oil.  Place in an open jar in laundry room.","Spray dirty laundry with air freshener, and open a window to clear the room of smell.",Place a bowl of vinegar in the laundry room to absorb odors.
14,c7954299-1abe-4487-9f42-e6acecf5c7d4,How do you remove gum from being stuck in hair?,Apply an ice cube and gently remove the hardened gum.,Use a blow dryer and gently remove melted gum.,0,"How do you remove gum from being stuck in hair?
sol1:Apply an ice cube and gently remove the hardened gum.
sol2:",Use a blow dryer and gently remove melted gum.,"Apply peanut butter to the affected area, let it sit for a few minutes, and then gently comb out the gum."
15,5bec9eb5-82f4-4a4e-965c-d7fff3d90c89,How long should liquid nails dry?,Just because liquid nails look dry in a short period of time it does not mean it is dried to maximum strength.,"Liquid nails should be adhered to surfaces for 24 hours, taking a full week to completely cure to maximum strength",1,"How long should liquid nails dry?
sol1:
sol2:Liquid nails should be adhered to surfaces for 24 hours, taking a full week to completely cure to maximum strength",Just because liquid nails look dry in a short period of time it does not mean it is dried to maximum strength.,"Liquid nails should be adhered to surfaces for 24 hours, taking a full week to completely cure to maximum strength."
16,cc5c1f7b-a164-472e-b462-9f6b499abb87,Trim apple trees.,Use a chainsaw to cut all the limbs off the tree.,Get your limb trimmer out and sharpen the blades with a stone.,1,"Trim apple trees.
sol1:
sol2:Get your limb trimmer out and sharpen the blades with a stone.",Use a chainsaw to cut all the limbs off the tree.,Start by removing any dead or diseased branches.
17,aaca84e3-8a61-4db1-a67d-054a61672db1,how do you use headphones?,plug them into your device.,plug them into your device and then place the headphones over your head to where each side is covering your ears.,1,"how do you use headphones?
sol1:
sol2:plug them into your device and then place the headphones over your head to where each side is covering your ears.",plug them into your device.,"Insert the headphone plug into the audio jack of your device and then position the earpieces over your ears, ensuring that they cover each ear snugly."
18,090e3d56-62dc-4797-89b2-6140b1d3d672,How to light a candle with a deep seated wick?,invert the candle upside down and pull the wick until the lighter can reach it,invert the candle upside down and use the lighter to reach into the wick to light it,1,"How to light a candle with a deep seated wick?
sol1:
sol2:invert the candle upside down and use the lighter to reach into the wick to light it",invert the candle upside down and pull the wick until the lighter can reach it,Use a long fireplace match or a candle lighter to reach the wick and light it.
19,24a20648-1150-4a52-8ea0-47ddda036539,Which direction to properly install an air filter.,Air filters can be installed in any direction.,Pay attention to the arrow markers. These indicate which way to insert the filter into the slot.,1,"Which direction to properly install an air filter.
sol1:
sol2:Pay attention to the arrow markers. These indicate which way to insert the filter into the slot.",Air filters can be installed in any direction.,Align the arrow on the filter with the airflow direction indicated on the air filter slot.
20,ab79c742-68f1-4232-b989-31a387a40867,How to create Dorodango (Japanese mud-art).,"Gather dirt, wet it to make mud, and roll it into the shape of a ball, keep adding water so it will remain mud-like, add water whenever it begins to dry.","Gather dirt, wet it to make mud, and roll it into the shape of a ball, let it sit until it dries, then buff it with a cloth.",1,"How to create Dorodango (Japanese mud-art).
sol1:
sol2:Gather dirt, wet it to make mud, and roll it into the shape of a ball, let it sit until it dries, then buff it with a cloth.","Gather dirt, wet it to make mud, and roll it into the shape of a ball, keep adding water so it will remain mud-like, add water whenever it begins to dry.","Continue to polish the dried mud ball with finer and finer cloths, until it becomes glossy and smooth."
21,94455c3a-5b75-427c-a76b-0a63972fc7ac,Increase ability to learn something new.,Diffuse vegetable oil.,Diffuse cinnamon essential oil.,1,"Increase ability to learn something new.
sol1:
sol2:Diffuse cinnamon essential oil.",Diffuse vegetable oil.,Practice mindfulness meditation.
22,06891396-991e-4c72-8295-9ec093560337,"To remove sharpie pen from a couch,",soak the area in soy milk so that the region is colored by it.,soak the stained area in milk for an hour and then rub away.,1,"To remove sharpie pen from a couch,
sol1:
sol2:soak the stained area in milk for an hour and then rub away.",soak the area in soy milk so that the region is colored by it.,Use rubbing alcohol and gently blot the stained area using a clean cloth.
23,3eb3eaec-b85a-4e30-937d-3649fd153156,how to get perfectly done grilled meat,"move closer to the coals the longer it has been on. when almost finished, move directly on top of the coals.",Take your meat and fish off the grill a few seconds before it's perfectly done because it cooks an extra 5–10 degrees when resting,1,"how to get perfectly done grilled meat
sol1:
sol2:Take your meat and fish off the grill a few seconds before it's perfectly done because it cooks an extra 5–10 degrees when resting","move closer to the coals the longer it has been on. when almost finished, move directly on top of the coals.",Let the grilled meat rest for a few minutes before serving it.
24,4964f8ff-3b13-48e8-b8fd-4066f2eff1b0,how do you floss your teeth with a toothpick?,use the pick to scrape out any food stuck in your teeth.,chew on the toothpick,0,"how do you floss your teeth with a toothpick?
sol1:use the pick to scrape out any food stuck in your teeth.
sol2:",chew on the toothpick,Use the pick to gently go in between your teeth and remove any debris or plaque buildup.
25,ca544ee4-d204-4a39-8c18-b245171a6b71,PET ANT,MAKE SURE YOU FEED IT,make it sugar and not salt,0,"PET ANT
sol1:MAKE SURE YOU FEED IT
sol2:",make it sugar and not salt,GIVE IT PLENTY OF WATER
26,e95cfd31-d9d1-410f-8ffe-9d0fb3e38534,how do you use cream?,spray it all over your skin.,"get a small amount of it, and spread it all over your skin wherever you'd like to apply it until you can't see it anymore.",1,"how do you use cream?
sol1:
sol2:get a small amount of it, and spread it all over your skin wherever you'd like to apply it until you can't see it anymore.",spray it all over your skin.,Mix it into your coffee or tea
27,ddff6f2a-93ef-47fb-a483-6bcb45bf423c,Make a picture for your fish tank.,Get your crayons or paints together and give them to your fish to use. Let him or her color what they want.  Get that picture and tape to the backside of the fish tank. Make your fish wonderfully happy.,Get your crayons or paints together and think of what kind of picture you would like to make to put on the back of your fish tank. Make that picture and tape to the backside of the fish tank.,1,"Make a picture for your fish tank.
sol1:
sol2:Get your crayons or paints together and think of what kind of picture you would like to make to put on the back of your fish tank. Make that picture and tape to the backside of the fish tank.",Get your crayons or paints together and give them to your fish to use. Let him or her color what they want.  Get that picture and tape to the backside of the fish tank. Make your fish wonderfully happy.,Use a digital image or printout of an underwater scene and attach it to the back of the fish tank using tape or aquarium-safe adhesive.
28,737eb555-5ea1-45c9-8928-fa5368028408,To build a giant Jenga set,Get a few set of Jenga and clear the floor from toys and clutter and make sure you have enough space to build the set.,Put the Jenga set on the floor.,0,"To build a giant Jenga set
sol1:Get a few set of Jenga and clear the floor from toys and clutter and make sure you have enough space to build the set.
sol2:",Put the Jenga set on the floor.,"Stack the Jenga blocks in a stable tower formation, making sure each layer is level and secure."
29,75f4d8b3-2a1b-4525-8de9-74831f6952e3,What is the best material to be used for the solar air heating box?,Use a wooden box of required size and punch holes on the for allowing air passage.,"Choose a metallic box of required size, with holes punched on them for air passage.",1,"What is the best material to be used for the solar air heating box?
sol1:
sol2:Choose a metallic box of required size, with holes punched on them for air passage.",Use a wooden box of required size and punch holes on the for allowing air passage.,Use a black metal sheet or a solar collector made of heat-absorbing material like copper.
30,5a37f5ad-0799-4208-8549-bfcc1cc261ad,To create a replica of Back to the Future's Sports Almanac.,Print the cover on glossy paper and glue it to an old book after removing its cover.,Use an old book and then print the book.,0,"To create a replica of Back to the Future's Sports Almanac.
sol1:Print the cover on glossy paper and glue it to an old book after removing its cover.
sol2:",Use an old book and then print the book.,"Fill the book with blank, matching pages to create the replica."
31,90c7e068-b1e1-4f33-9473-c0f231c106cc,how do you give your fingerprints at a police station?,place them in an ink trey and they automatically transfer to their system.,place them in an ink trey and then stick them on the sheet of paper.,1,"how do you give your fingerprints at a police station?
sol1:
sol2:place them in an ink trey and then stick them on the sheet of paper.",place them in an ink trey and they automatically transfer to their system.,Roll each finger onto an ink pad and then press it onto a fingerprint card.
32,f6902e2f-2450-4fa4-bcae-ca46ce82a946,"To attach magnets to a piece of wood, you can",Use superglue,Use a soldering iron,0,"To attach magnets to a piece of wood, you can
sol1:Use superglue
sol2:",Use a soldering iron,Use adhesive tape or epoxy resin
33,863f8d4b-9e15-4064-ba53-64dab19c2d3f,how to add a deeper flavor to ground beef?,"mash up cooked white rice, and form a ball. wrap ground beef around it, and inject with olive oil.",baste meat with brown butter — it insulates the meat and gives it a nutty flavor,1,"how to add a deeper flavor to ground beef?
sol1:
sol2:baste meat with brown butter — it insulates the meat and gives it a nutty flavor","mash up cooked white rice, and form a ball. wrap ground beef around it, and inject with olive oil.",Marinate the ground beef with Worcestershire sauce before cooking
34,b9f32dd9-57f0-4e0c-ac56-c5f9c216a53c,When heating milk to make cheese,Leave in place without disrupting to prevent the milk from burning,Stir the whole time to prevent the milk from burning,1,"When heating milk to make cheese
sol1:
sol2:Stir the whole time to prevent the milk from burning",Leave in place without disrupting to prevent the milk from burning,Add lemon juice or vinegar to curdle the milk
35,d62ad964-d943-46cf-9af0-8955c27a48c4,how do you hydrate after working out?,drink some whiskey with coke.,drink a bottle of cold water.,1,"how do you hydrate after working out?
sol1:
sol2:drink a bottle of cold water.",drink some whiskey with coke.,Drink a sports drink or electrolyte-infused water.
36,287f39b9-3fe9-4824-8b50-70db65bce862,How can a person use images from the internet to create a Candy advent calendar?,Use a printer to print the image,Use a pen and paper and recreate the image by hand,0,"How can a person use images from the internet to create a Candy advent calendar?
sol1:Use a printer to print the image
sol2:",Use a pen and paper and recreate the image by hand,Use a computer program to digitally create the calendar
37,fc7a8506-acfa-493f-8046-b67eaf0e5016,To make a hood for a cloak.,Sew two pieces of fabric together.,Drape fabric over your head.,0,"To make a hood for a cloak.
sol1:Sew two pieces of fabric together.
sol2:",Drape fabric over your head.,Attach a string or ribbon to fasten the hood to the cloak.
38,8104bf22-9043-49b8-b14c-ef03ad5ec8f1,"To make the caffeine in coffee release slowly after consumption,","Use a non-fat coffee cream powder instead of cream or milk in your coffee, to dilute the portion of coffee in the beverage.",add butter to the coffee so that the caffeine combines into the butter and trickles into the body slower.,1,"To make the caffeine in coffee release slowly after consumption,
sol1:
sol2:add butter to the coffee so that the caffeine combines into the butter and trickles into the body slower.","Use a non-fat coffee cream powder instead of cream or milk in your coffee, to dilute the portion of coffee in the beverage.",Add coconut oil to the coffee so that the caffeine combines into the oil and releases slower into the body.
39,a9c81720-0d97-4223-872a-14311adfa9fa,How to keep cool outside.,"Add some peppermint oil to a spray bottle of water, spray self often avoiding eyes.",Sit under a shade tree.,1,"How to keep cool outside.
sol1:
sol2:Sit under a shade tree.","Add some peppermint oil to a spray bottle of water, spray self often avoiding eyes.",Stay in a shaded area or use a sunscreen.
40,cbf4a113-0286-4392-8eb8-89fc0218c290,napkin,protect ice cream scoop from damage,hold ice cream scoop to keep hands warm,1,"napkin
sol1:
sol2:hold ice cream scoop to keep hands warm",protect ice cream scoop from damage,Use it to wipe your mouth or hands while eating.
41,316b359f-a9bc-4ae2-a66c-78a8a03c8b91,How to grow a new grapevine using cuttings.,"In the fall, snip off the dormant vines in pieces about 3 feet long. You need 4 buds for every piece that you cut. Leave the green or wet parts alone at the bottom of the plant. Let the cuttings dry over the winter, and in the spring place them in the soil with 3 buds in the soil and the top bud above the soil, and they will germinate again.","In the spring, snip off the dormant vines in pieces about 3 feet long. You need 4 buds for every piece that you cut. Leave the green or wet parts alone at the bottom of the plant. This will release new growth until the next winter, when you can cut them back again. Each cutting will produce a new plant that will germinate again.",0,"How to grow a new grapevine using cuttings.
sol1:In the fall, snip off the dormant vines in pieces about 3 feet long. You need 4 buds for every piece that you cut. Leave the green or wet parts alone at the bottom of the plant. Let the cuttings dry over the winter, and in the spring place them in the soil with 3 buds in the soil and the top bud above the soil, and they will germinate again.
sol2:","In the spring, snip off the dormant vines in pieces about 3 feet long. You need 4 buds for every piece that you cut. Leave the green or wet parts alone at the bottom of the plant. This will release new growth until the next winter, when you can cut them back again. Each cutting will produce a new plant that will germinate again.","In the summer, select a healthy vine and cut a stem that is about 6-8 inches long. Remove any leaves from the lower half of the stem. Dip the cut end of the stem in rooting hormone powder to promote root growth. Plant the stem in a pot filled with a well-draining soil mix. Keep the soil moist and place the pot in a warm and sunny spot. Within a few weeks, the stem should start growing roots. Once the roots are well-established, transplant the new grapevine into the ground or a larger pot."
42,532467ad-df88-4ef0-b21f-22dd2389a312,how do you find out what's wrong with a car?,read the codes with a machine.,ask it what's wrong with it.,0,"how do you find out what's wrong with a car?
sol1:read the codes with a machine.
sol2:",ask it what's wrong with it.,Bring it to a mechanic for a diagnostic test.
43,ed723e9e-aaaf-4ba7-9054-09db30218ea4,How to teach your toddler how to talk.,"Give them space, leave them alone to learn on their own.","Read, sing, and do word or picture association with them.",1,"How to teach your toddler how to talk.
sol1:
sol2:Read, sing, and do word or picture association with them.","Give them space, leave them alone to learn on their own.",Speak to them frequently and encourage them to repeat words
44,7347e205-9467-4580-8c1e-c59485c1fe41,To cook the kebab meat on a grill,Place the kebab meat on the grill.,Skewer the meat and put on grill.,1,"To cook the kebab meat on a grill
sol1:
sol2:Skewer the meat and put on grill.",Place the kebab meat on the grill.,Brush with marinade and place on the grill
45,ccd0abce-33c9-4035-bbd3-9e20b82de556,aluminum foil,is heavier than a paperweight ,can be placed under a  paperweight .,1,"aluminum foil
sol1:
sol2:can be placed under a  paperweight .",is heavier than a paperweight ,Can be used to cover food for baking or grilling.
46,a98ec6c6-d505-4d57-9f70-b839d889f49c,Finish the concrete patio.,Using a float make side to side sweeps across the poured concrete until it is level.,Level the concrete using sweeps with float purchased from a local hardware store.,0,"Finish the concrete patio.
sol1:Using a float make side to side sweeps across the poured concrete until it is level.
sol2:",Level the concrete using sweeps with float purchased from a local hardware store.,Smooth out the surface using a trowel to remove any imperfections and create a sleek finish.
47,e13464be-a439-45a4-b049-1d866380e399,safety pin,can hold together a  thick stack of paper ,can hold together a  diaper ,1,"safety pin
sol1:
sol2:can hold together a  diaper ",can hold together a  thick stack of paper ,can secure clothing or fabrics
48,0cbd25a4-59e0-4814-b5ca-d6250189878a,How do I get glitter to stay on ribbon?,"To stop glitter from falling off fabric, lay your fabric on a towel and spray a thick layer of hairspray over the glitter. Then, let the hairspray dry before giving the garment a light shake and applying more hairspray if the glitter falls off.","Do not use plain glue to get glitter to stay on ribbon, it will clump and make the ribbon too thick to use.",0,"How do I get glitter to stay on ribbon?
sol1:To stop glitter from falling off fabric, lay your fabric on a towel and spray a thick layer of hairspray over the glitter. Then, let the hairspray dry before giving the garment a light shake and applying more hairspray if the glitter falls off.
sol2:","Do not use plain glue to get glitter to stay on ribbon, it will clump and make the ribbon too thick to use.",Apply a thin layer of clear adhesive glue over the ribbon and then sprinkle the glitter onto the glue. Allow the glue to dry completely before handling the ribbon.
49,e23f1a43-f9af-4a4d-98ae-9925692c1222,how do you distract someone?,keep them occupied with something else.,keep them on track.,0,"how do you distract someone?
sol1:keep them occupied with something else.
sol2:",keep them on track.,Interrupt their attention with a loud noise or sudden movement
50,bc20faaf-2b8f-4076-8d0c-654d8b172536,Harvest maple syrup.,"Insert a spigot ( a tap with a spout) into a maple tree, and attach a bucket to catch the sap. The sap will resemble water, but will be sweet if you taste it.  Boil the sap down so the liquid becomes thick and has the consistency you wish. Great on pancakes and many other dishes.","Insert a spigot (a tap) into a maple tree, and turn the tap on. Water will come out of the tree that is full of sugar. Boil the sap down until it becomes thicker. It will form into a syrup that can be enjoyed on pancakes or many other dishes.",0,"Harvest maple syrup.
sol1:Insert a spigot ( a tap with a spout) into a maple tree, and attach a bucket to catch the sap. The sap will resemble water, but will be sweet if you taste it.  Boil the sap down so the liquid becomes thick and has the consistency you wish. Great on pancakes and many other dishes.
sol2:","Insert a spigot (a tap) into a maple tree, and turn the tap on. Water will come out of the tree that is full of sugar. Boil the sap down until it becomes thicker. It will form into a syrup that can be enjoyed on pancakes or many other dishes.","Collect the sap from the maple tree using a collection bag or bucket and transfer it to a large pot. Boil the sap until it reaches the desired consistency, stirring occasionally. Once thickened, filter the syrup to remove any impurities and transfer it to a storage container for use. Enjoy the maple syrup on pancakes, waffles, or other dishes."
51,a514d8db-f79a-4796-be5f-85e9e47b12b0,how do you return a package to sender?,leave it outside your front door.,"when they try to deliver the package, tell them you refuse to recieve it and you'd like it sent back.",1,"how do you return a package to sender?
sol1:
sol2:when they try to deliver the package, tell them you refuse to recieve it and you'd like it sent back.",leave it outside your front door.,Contact the shipping company and request a return label
52,603c6a2d-932a-4296-80fa-8ec4ad732ede,What plants work best for upcycled kitchen planters?,You can use any plant and make sure you place it directly in your kitchen windowsill.,"You can use spider plants or succulents, but make sure you place them according to light preferences.",1,"What plants work best for upcycled kitchen planters?
sol1:
sol2:You can use spider plants or succulents, but make sure you place them according to light preferences.",You can use any plant and make sure you place it directly in your kitchen windowsill.,"You can use herbs like basil, mint, or rosemary as they are easy to grow and can be used in cooking."
53,04175080-0ec1-4a41-9918-35d8aef5856a,spoons,can scoop books ,can scoop ice cubes ,1,"spoons
sol1:
sol2:can scoop ice cubes ",can scoop books ,Can stir soup
54,ad4aa09d-5fe4-4b85-a5ea-5d53f5017878,How To Find a Stud in the Wall to Secure Workshop Cabinets,"To find a stud in the wall to secure workshop cabinets, the best thing to do is to measure inward from the corners of the wall, and drill every six inches until you encounter the stud..","To find a stud in the wall to secure workshop cabinets, the best thing to do is to purchase a electronic or laser stud finder. It can also be done by tapping on the walls to judge the difference in sound between hollow drywall and a stud board, but this is less accurate for inexperienced builders.",1,"How To Find a Stud in the Wall to Secure Workshop Cabinets
sol1:
sol2:To find a stud in the wall to secure workshop cabinets, the best thing to do is to purchase a electronic or laser stud finder. It can also be done by tapping on the walls to judge the difference in sound between hollow drywall and a stud board, but this is less accurate for inexperienced builders.","To find a stud in the wall to secure workshop cabinets, the best thing to do is to measure inward from the corners of the wall, and drill every six inches until you encounter the stud..","To find a stud in the wall to secure workshop cabinets, you can also use a magnetic stud finder. This tool detects the metal hardware used to fasten the stud and provides a reliable indication of its location."
55,f1be1f77-16ce-4b47-aaa5-a3768f9234b0,penny,can replace a stove ,can test the conductivity of a stove ,1,"penny
sol1:
sol2:can test the conductivity of a stove ",can replace a stove ,Be used in a coin toss
56,f98c24b3-4c3d-4168-a06f-d905395d6bb6,To use a readily available item as a pen to run electricity through for DIY metal etching.,Use a toothpick.,Use a cotton swab.,1,"To use a readily available item as a pen to run electricity through for DIY metal etching.
sol1:
sol2:Use a cotton swab.",Use a toothpick.,Use a graphite pencil.
57,8b700d0c-b057-41d8-ad96-31bef6c32044,What can I use to go to London the quickest,The best method would be to use a dinghy boat and paddle,The best method would be to book an airplane ticket and fly,1,"What can I use to go to London the quickest
sol1:
sol2:The best method would be to book an airplane ticket and fly",The best method would be to use a dinghy boat and paddle,The fastest way to travel to London would be to book a flight and fly there.
58,013d872f-fa92-4fe2-b6d6-78d488a6d46c,table,building models safely,building a fire safely,0,"table
sol1:building models safely
sol2:",building a fire safely,Using it to eat meals or set items on it
59,366acf52-8066-4c03-b422-d32c990af6e2,How to get people to come to the carnival.,Put the best show you have on free display but in the back of the circus. By time they get to that display they'll have spent a bundle,Offer to let them in on BOGO ticket.,1,"How to get people to come to the carnival.
sol1:
sol2:Offer to let them in on BOGO ticket.",Put the best show you have on free display but in the back of the circus. By time they get to that display they'll have spent a bundle,Advertise on social media and local newspapers.
60,0e1ceea8-8dc2-4752-ad53-54a806b958d7,how do you use a chip on a debit card?,slide the card on the machine.,place the chip end inside of the payment machine and leave it until it tells you to remove it.,1,"how do you use a chip on a debit card?
sol1:
sol2:place the chip end inside of the payment machine and leave it until it tells you to remove it.",slide the card on the machine.,Insert the chip end into the payment machine and follow the prompts on the screen.
61,ea19be52-d1d4-43f4-84e3-d543761afe3e,How do I prevent my muscles from getting sore after lifting weights or exercise?,"After exercising or lifting weights extensively, apply a topical analgesic to the parts of the body you were training. Also apply an ice pack if needed to reduce swelling.","When exercising or lifting weights, drink plenty of water. Being dehydrated increases the chances of pulling a muscle, or becoming sore after the exercise.",1,"How do I prevent my muscles from getting sore after lifting weights or exercise?
sol1:
sol2:When exercising or lifting weights, drink plenty of water. Being dehydrated increases the chances of pulling a muscle, or becoming sore after the exercise.","After exercising or lifting weights extensively, apply a topical analgesic to the parts of the body you were training. Also apply an ice pack if needed to reduce swelling.",Stretch before and after exercising to help prevent muscle soreness.
62,c8b1db24-e13f-4ff0-b622-1193ce548c69,To make steak tender.,Add baking soda  to the top of the meat and let it rest for five minutes. Remove the baking powder after five minutes.,Marinate the meat with acidic ingredients to break down tough proteins.,1,"To make steak tender.
sol1:
sol2:Marinate the meat with acidic ingredients to break down tough proteins.",Add baking soda  to the top of the meat and let it rest for five minutes. Remove the baking powder after five minutes.,Cook the steak at a low temperature for a longer period of time (such as sous vide cooking).
63,9d414ed4-15c3-4630-a15b-188e79490843,how do you serenade someone?,sing to them only,sing to a group of people.,0,"how do you serenade someone?
sol1:sing to them only
sol2:",sing to a group of people.,Play them a romantic song on a musical instrument
64,0d33b560-1a0d-47a5-bc5a-14dde5e14c5c,After baking the rollo cookies,Remove them from the oven and eat.,After you remove the cookies from the oven you will want to allow them to sit on the pan for a few minutes. If you try to take them off right away the caramel tends to spill from the cookie and they are hard to remove.,1,"After baking the rollo cookies
sol1:
sol2:After you remove the cookies from the oven you will want to allow them to sit on the pan for a few minutes. If you try to take them off right away the caramel tends to spill from the cookie and they are hard to remove.",Remove them from the oven and eat.,Transfer the cookies to a wire rack to cool completely.
65,3bd8fbcf-502f-4f69-a231-c8ea074e62ec,To learn French.,Download an application on the phone that will help you learn French easily.,Attend an institution offering French lessons.,1,"To learn French.
sol1:
sol2:Attend an institution offering French lessons.",Download an application on the phone that will help you learn French easily.,Practice speaking with native French speakers.
66,4f0b876b-a207-4212-8111-1373f2a9ab5a,To make hay.,Cut grass and dry them in the sun.,dry grass to remove all the water in it to prevent decomposition.,0,"To make hay.
sol1:Cut grass and dry them in the sun.
sol2:",dry grass to remove all the water in it to prevent decomposition.,Bale the dried grass for storage
