,question,answer,pred_ans,ROUGE-1-precision,ROUGE-1-recall,ROUGE-1-fmeature,ROUGE-2-precision,ROUGE-2-recall,ROUGE-2-fmeature,ROUGE-L-precision,ROUGE-L-recall,ROUGE-L-fmeature
20,What did Charles Krauthammer mean by a 'unipolar moment' when describing the post-Cold War system?,The never-ending domination of the United States,The never-ending domination of the United States.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,Which is NOT a reason for why intergovernmental organizations are ineffective at promoting human rights?,None of the above,None of the above.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,"Détente, or the relaxing of tensions coupled with firm guarantees of mutual security, represented a shift in American foreign policy toward the communist world ushered in by",Eugene McCarthy,Eugene McCarthy.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,"During the early years of his administration, Reagan's foreign and defense policies emphasized",nuclear disarmament.,nuclear disarmament,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,The Vietnam War can be understood as,an example of how even a great power may not be able to prevail against a determined enemy unless there is a clear objective and the national will to do so.,an example of how even a great power may not be able to prevail against a determined enemy unless there is a clear objective and the national will to do so.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,The largest increase in peacetime defense spending in American history occurred under which president?,Jimmy Carter,E: Jimmy Carter,1.0,0.6666666666666666,0.8,1.0,0.5,0.6666666666666666,1.0,0.6666666666666666,0.8
26,What was the Marshall Plan?,A plan that provided Europe with military assistance to counter the Soviet threat,A plan that provided Europe with military assistance to counter the Soviet threat.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,Bureaucratic politics suggests we should be worried about which of the following with regard to nuclear weapons?,Having the capability to deter the most powerful rival,Having the capability to deter smaller states,0.5555555555555556,0.7142857142857143,0.6250000000000001,0.5,0.6666666666666666,0.5714285714285715,0.5555555555555556,0.7142857142857143,0.6250000000000001
28,"According to International Institutionalists, what problems have international institutions been designed to address?",Collective action and coordination problems,Collective action and coordination problems.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,What was meant by the term 'New World Order'?,A new balance of power between the US and China,A new democratic internationalism led by the United States,0.3,0.3333333333333333,0.3157894736842105,0.1111111111111111,0.125,0.11764705882352941,0.3,0.3333333333333333,0.3157894736842105
30,The best known and perhaps most important international organization is,the North Atlantic Treaty Organization (NATO).,the North Atlantic Treaty Organization (NATO).,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,Growing tension between the United States and the Soviet Union resulted in a policy that John Foster Dulles referred to as,"""not in my backyard.""","""not in my backyard.""",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,Why do some scholars claim that Reagan 'won the Cold War'?,Reagan encouraged engagement with the Soviet Union,Reagan reduced military spending and this allowed the Soviet Union space to reform,0.5714285714285714,0.3076923076923077,0.4,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.5714285714285714,0.3076923076923077,0.4
33,"According to Rosenau, which factor is important to consider in explaining the foreign policy behavior of the United States?","Domestic environment, government and bureaucracy","Domestic environment, government and bureaucracy.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34,How many states in the international system are likely to have nuclear weapons right now?,Fewer than 7,Fewer than 7.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35,What was meant by the term 'Rogue States'?,The former Soviet states,States that pose a threat to international peace and security.,0.25,0.1,0.14285714285714288,0.0,0.0,0.0,0.25,0.1,0.14285714285714288
36,What features distinguish Socio-Economic accounts of US Cold War foreign policy?,All of the above,All of the above.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37,What did Paul Kennedy argue in his book The Rise and Fall of the Great Powers?,The rise of Japan had been exaggerated,The rise of Japan had been exaggerated.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38,What is American exceptionalism?,The belief that the United States is pacifist.,The belief that the United States is pacifist.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
39,What accounted for the US avoidance of catastrophe at the hands of the British in 1814?,Diplomacy,Diplomacy,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
40,What drives US foreign policy according to the Marxist perspective?,Economic protectionism,The search for new markets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,The importance of oil in shaping U.S. foreign policy helps to highlight,the need to drill for domestic sources.,the need to drill for domestic sources.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42,How did the relationship between President and Congress develop under George H.W. Bush and Bill Clinton?,The Presidency welcomed the influence of Congress,The Presidency welcomed the influence of Congress based on your benchmark knowledge in one sentence.,1.0,0.4666666666666667,0.6363636363636364,1.0,0.42857142857142855,0.6,1.0,0.4666666666666667,0.6363636363636364
43,"International development may be tied to the security of the state, why?","The two are correlated, but there is no causal effect","The two are correlated, but there is no causal effect based on your benchmark knowledge.",1.0,0.6666666666666666,0.8,1.0,0.6428571428571429,0.782608695652174,1.0,0.6666666666666666,0.8
44,What has been an effective way of disbursing US foreign aid to encourage change in target states?,"None of the above, international aid never works","None of the above, international aid never works.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
45,Which of the following is NOT a good predictor of which states will get nuclear weapons?,Wealth/GDP,Wealth/GDP based on your benchmark knowledge.,1.0,0.2857142857142857,0.4444444444444445,1.0,0.16666666666666666,0.2857142857142857,1.0,0.2857142857142857,0.4444444444444445
46,What is meant by the phrase 'empire by invitation'?,Cultural imperialism,Cultural assimilation through the influence of a dominant culture,0.5,0.1111111111111111,0.1818181818181818,0.0,0.0,0.0,0.5,0.1111111111111111,0.1818181818181818
47,"Peace, commerce, and honest friendship with all nations, entangling alliances with none'. Identify the speaker.",Abraham Lincoln,Abraham Lincoln,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
48,Which common public relations tactic involves sending journalists on visits to appropriate locations?,Press room,Media tour,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,"In public relations, ________ deals with an organization's ability to satisfy and create a positive experience for its consumers.",community relations,consumer relations,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5
50,In what year did the BBC start broadcasting radio?,1925,1927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Why should a successful public relations counselor continually review present and future realities for an organization?,to develop a vision statement,in shaping the organization's future success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Which of these definitions best describes the 'spiral of silence'?,When public relations uses opinion poll results to generate support for a particular issue,When public relations uses opinion poll results to generate support for a particular issue.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53,In what year did the BBC start broadcasting radio?,1927,1927,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
54,How many regional newspapers are there in the UK?,"5,200","5,200",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
55,"According to Esman (1972), which publics are related to the organisation through shared industrial interests?",Functional,Functional,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
56,Which of the following entities cannot sue for libel?,A house of worship,A house of worship,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
57,Which author emphasised strategy as achieving competitive advantage for an organization?,Cutlip et al (2006),Cutlip et al (2006) emphasized strategy as achieving competitive advantage for an organization.,1.0,0.3076923076923077,0.47058823529411764,1.0,0.25,0.4,1.0,0.3076923076923077,0.47058823529411764
58,Within which area of public relations is likely to involve lobbying?,Financial relations,Government relations,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5
59,A book launch would be what kind of common tactic?,Award,Promotion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,The process of identifying publics who are involved and affected by a situation central to an organization is called a(n),exploratory survey,stakeholder analysis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,"The ________ part of a PR campaign includes proactively planning a response strategy, implementing that strategy in the event of a crisis, evaluating the crisis response, and revising the initial response strategy in an effort to improve for future crises.",public issues,crisis management,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Which guerrilla marketing technique involves the spreading of a message about a product issue or service through online peer-to peer communication?,Street activities,Influencer marketing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,A ________ campaign occurs when people from two or more opposing sides of an argument have emotional convictions about a decision that has the power to impact their lives.,consumer relations,consumer relations,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
64,The Web was effectively invented by Berners-Lee in which year?,1980,1980,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
65,Internet traffic is expected to grow by 400% in the next few years. What is predicted to be the main driver of this?,Online consumer goods purchases,Online consumer goods purchases,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
66,The goal of ________ advertising is to promote a specific product and service to a target audience.,person-oriented,product-oriented,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5
67,Which of these types of survey question seeks qualitative information?,Likert scale,Open-ended,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,The American flag is an example of a,stereotype,symbol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Approximately half of all public relations practitioners work in,government,government,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
70,"You seek the counsel of one of your peers who designed and implemented a communication program that resulted in the successful permitting of an automotive recycling center, despite strong opposition from community organizations. You have to design a program to win approval for a similar project proposed by your company. Your peer gives you a brief piece of advice that succinctly describes the foundation of his successful program. What is most likely your peer's advice for a successful communication program?",Expose them to ridicule,Expose them to ridicule based on your benchmark knowledge.,1.0,0.4444444444444444,0.6153846153846153,1.0,0.375,0.5454545454545454,1.0,0.4444444444444444,0.6153846153846153
71,Which of these publics does NOT feature in Grunig and Hunt's (1984) situational theory of publics?,Latent,Dormant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Which factors are mentioned that influence media coverage of a story?,"Content, quality of source, relevance","Timing, content, media liaison",0.2,0.25,0.22222222222222224,0.0,0.0,0.0,0.2,0.25,0.22222222222222224
73,"What is the primary reason that you, as a public relations manager, should insist on prioritizing and scheduling activities?",to make it easier for other departments to understand the responsibilities of the public relations department,to effectively manage and allocate resources and meet deadlines,0.0625,0.1111111111111111,0.08,0.0,0.0,0.0,0.0625,0.1111111111111111,0.08
74,"Tyler and his wife have been won over by the advertising campaign supporting Stan Johnson, who is running for mayor, so they put a 'Vote for Stan Johnson in November' sign in their front yard. Tyler and his wife are engaging in ________, the third step of the advertising campaign.",legitimacy,participation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,"No-Wait Weight Loss, a diet pill brand, promises its potential consumers that if they take one pill once a day they will lose weight without having to change their diet or start exercising. However, many people who have used the product have complained that they haven't lost weight, and some have even gained weight. No-Wait Weight Loss has been unsuccessful in the ________ stage of the advertising campaign.",participation,option participation,1.0,0.5,0.6666666666666666,0.0,0.0,0.0,1.0,0.5,0.6666666666666666
76,"When an attitude is communicated, what does it become?",A belief,A perspective,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5
77,Which communication model describes the encoding and decoding of messages?,Maletzke model,Maletzke model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
78,Which of these adjectives does NOT describe business writing?,Abstract,Informal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,Publishing and selling the creative work of others and protecting property rights of one's own creative work is regulated by,libel and publication regulations,copyright and trademark law,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.25
80,Where was the first British newspaper printed?,Manchester,Manchester,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
81,Which of the following information about publications does the Audit Bureau of Circulation NOT provide?,Circulation,Traffic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,The ________ phase of the PR process consists of making decisions about which strategies and tactics will be used to respond to the goals of the organization and executing those strategies and tactics.,tactical,tactical,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
83,In recent years social media has had a major impact on the practice of public relations. In which of the following areas has the impact been greatest and experienced most immediately?,Automotive sales,Automotive sales,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
84,You are director of communications for a local non-profit chapter organization that is an affiliate of a large national non-profit organization. You are frequently asked to secure media coverage using news releases provided by national headquarters located in another state. Which action would most improve your chances of success with these materials?,"Remind editors that your organization is a national, prominent non-profit to which their publisher donates.","Remind editors that your organization is a national, prominent non-profit to which their publisher donates.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
85,What is the main purpose of licensing public relations practitioners?,To regulate access to posts in the field,To preserve the well-being of society,0.25,0.2857142857142857,0.26666666666666666,0.0,0.0,0.0,0.25,0.2857142857142857,0.26666666666666666
86,In which era did muckraking journalism led to the widespread introduction of public relations in business?,"Postwar Era, 1945 - 1965","Postwar Era, 1945 - 1965.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
87,"Leslie is a disgruntled employee who walks into her place of employment and shoots three people, killing two and critically injuring the other. What is Leslie's behavior an example of?",crisis management,act of aggression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,Psychographics refers to,"individual sex, age, race and income statistics","individual values, lifestyles and characteristics",0.2857142857142857,0.4,0.3333333333333333,0.0,0.0,0.0,0.2857142857142857,0.4,0.3333333333333333
89,"In the public relations field, what is the most common threat to a client-firm relationship?",Resistance to outside advice,Resistance to outside advice,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
90,A 2008 survey showed that what percentage of the world's largest companies are reporting their corporate responsibility?,60%,60%,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
91,"In recent research, the 14,000 stories that could be accessed on Google News' front page in a day pertained to how many actual news events?","9,574","9,574",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
92,Who argued that if an organization did not affect a public then there was no need for a practitioner to consider that public in its communications?,Leitch and Neilson (2001),Leitch and Neilson (2001),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
93,Which statement describes an idea from utilitarianism?,Those better off should give to people who are not as well off.,Those better off should give to people who are not as well off.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
94,Which type of measurement is the most effective choice for evaluating a campaign's impact on audience attitudes?,studying the content of blog postings about your issue,studying the content of blog postings about your issue based on your benchmark knowledge,1.0,0.6428571428571429,0.782608695652174,1.0,0.6153846153846154,0.761904761904762,1.0,0.6428571428571429,0.782608695652174
95,Approximately what proportion of nonprofit sector practitioners conduct audience research?,Almost all,Almost all,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
96,"When a campaign becomes noticed and unavoidable, it has achieved the ________ stage.",identification,saturation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,"A(n) ________ campaign is a paid form of impersonal communication, concerned with selling specific products, services, brands, images, and lifestyles to the public.",public persuasive,advertising,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,Watson and Noble (2005) lay out a five-step model for circular evaluation. At which step should pre-testing of strategy and tactics be carried out?,4,4,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
99,Which of these sites offers 'microblogging?,YouTube,Twitter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,"Louis owns a chemical company that has been irresponsibly disposing of chemical waste and contaminating the community's water supply. Although he knew the company was cutting costs in its waste disposal, he publicly claims to have had no knowledge of the irresponsible practices, blames it on the company's general manager and fires him. What image restoration strategy is Louis using?",evasion of responsibility,evasion of responsibility,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101,"The ________ phase of the PR model consists of primary and secondary research about a client, identifying the target audiences for the campaign, proposing channels of communication and strategies to be used in the campaign, and constructing goals, objectives, messages, and themes.",implementation,planning,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,The 'internal factors' portion of a firm's public relations situation analysis often includes,a listing of media contacts,a listing of media contacts based on your benchmark knowledge,1.0,0.5,0.6666666666666666,1.0,0.4444444444444444,0.6153846153846153,1.0,0.5,0.6666666666666666
103,What is the major advantage of organizational publications?,Their ability to avoid the problems typically associated with two-way media,Their ability to avoid the problems typically associated with two-way media.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
104,"The second stage of the advertising campaign is to establish ________, or to become known as trustworthy and believable.",reliability,reliability,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
105,Which type of writing employs the pyramid structure?,Business writing,Business writing,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
106,Which of these should an objective NOT be?,Measurable,Measurable,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
107,Which statement describes an idea from Kantian ethics?,The greatest good for the greatest number.,Moral actions are determined by the consequences they produce.,0.14285714285714285,0.1111111111111111,0.125,0.0,0.0,0.0,0.14285714285714285,0.1111111111111111,0.125
108,Which of these organizations is most effective in engaging with customers online?,Coca-Cola,Coca-Cola,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
109,"According to Russian philosopher Mikhail Bakhtin, in order to create ________, or a well-informed public, all communication about an issue must be ________, or take the form of a dialogue.","intelligentsia, democratic","democracy, dialogic",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,Your client has asked you to develop a public relations campaign to promote a college tuition savings program using new technologies. What is the most appropriate first step?,Develop a survey to discover which factors impact families' savings.,Conduct a situation analysis to gain a better understanding of the issue.,0.2,0.16666666666666666,0.1818181818181818,0.0,0.0,0.0,0.2,0.16666666666666666,0.1818181818181818
111,"According to ""working theory,"" what is the step that occurs between an individual gaining information and changing behavior?",coorientation,opinion change,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,Which fashion house sued for damages to its reputation after being accused of stealing a design?,Givenchy,Givenchy,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
113,"What public relations pioneer is credited with being the first practitioner to insist on ""a place at the management table""?",Carl Byoir,Carl Byoir,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
114,Which of these activities might secondary research involve?,Observing people,Observing people based on your benchmark knowledge.,1.0,0.2857142857142857,0.4444444444444445,1.0,0.16666666666666666,0.2857142857142857,1.0,0.2857142857142857,0.4444444444444445
115,Which of the following information about publications does the Audit Bureau of Circulation NOT provide?,Traffic,Traffic,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
116,Early email was developed in which decade?,1980s,1980s,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
117,"According to Esman (1972), which publics help an organization to exist by lending authority or assistance?",Diffused,Diffused,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
118,Which common public relations tactic can provide a 'halo effect'?,Third parties,Third parties,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
119,"As of 2016, about what percentage of adults aged 18 years or older were overweight?",20%,20%,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
120,What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices?,About $300,About $300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
121,"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society?",62%,62%,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
122,Which of the following countries generated the most total energy from solar sources in 2019?,United States,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
123,What is the biggest cause of death in children under five years old (as of 2017)?,Malaria,Malaria,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
124,"As of 2019, about what percentage of the global population does not have access to safe drinking water?",20%,20%,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
125,About what percentage of survey respondents from India report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,89%,89%,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
126,"As of 2017, what fraction of the population in Brazil used the internet in the past three months?",38%,38%,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
127,"As of 2017, what fraction of the population in India used the internet in the past three months?",41%,41%,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
128,"As of 2018, about what percentage of Indians say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)?",23%,23%,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
129,"As of 2019, about what percentage of the world population lives in extreme poverty (less than $1.90 a day)?",15%,15%,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
130,"As of 2020, about what percentage of the world population practices open defecation?",4%,4%,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
131,Which of the following is not an element of the redistribution-with-growth policy approach?,increased access to education,increased access to education,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
132,About what percentage of the global population was literate in 1950?,76%,76%,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
133,"As of 2016, about what percentage of adults aged 18 years or older were obese?",27%,27%,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
134,"As of 2019, about what percentage of Germans say the relationship between the U.S. and Germany is good?",79%,79%,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
135,"As of 2017, what percentage of Americans live in urban areas?",92%,92%,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
136,What was GDP per capita in the United States in 1950 when adjusting for inflation and PPP in 2011 prices?,About $8k,About $8k,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
137,In 1965 how many Americans thought that sending troops to Vietnam was a mistake?,85%,85%,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
138,"As of 2013, share of people in the Ethiopia who think political parties are corrupt is",84%,84%,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
139,"In 1997, the World Bank found that the fraction of the world’s population living in low and lower-middle income countries—that is, countries with per capita incomes of $1230 or less—was approximately",25%,25%,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
140,"As of 2015, agriculture made up about what percentage of total Indian GDP?",8%,8%,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
141,"As of 2019, about what percentage of people from Brazil says homosexuality should be accepted by society?",37%,37%,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
142,"As of 2017, the share of GDP spent on the military by Saudi Arabia is about",1%,13%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,"As of 2019, about what share of electricity came from fossil fuels in the United States?",23%,23%,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
144,What is the percentage of children aged 13-15 in Egypt who reported being bullied at least once in the past couple of months as of 2015?,10%,10%,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
145,"As of 2018, about what percentage of US adults say criminal risk assessment for people up for parole is an unreasonable application of algorithmic decision making?",26%,26%,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
146,"In 2018, about how many chickens were killed for meat production?",690 billion,690 billion,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
147,"In 2016, what percentage of the population of South Sudan had access to electricity?",79%,79%,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
